ortologus_row,ATG,GTG,TTG,uniformity,Species,Genes,cog,organism
119,8.0,0.0,0.0,same,8,8,absent,S_ruber
120,8.0,0.0,0.0,same,8,8,absent,S_ruber
121,8.0,0.0,0.0,same,8,8,COG2096,S_ruber
122,8.0,0.0,0.0,same,8,8,absent,S_ruber
123,8.0,0.0,0.0,same,8,8,absent,S_ruber
124,6.0,0.0,2.0,different,8,8,absent,S_ruber
125,8.0,0.0,0.0,same,8,8,absent,S_ruber
126,8.0,0.0,0.0,same,8,8,absent,S_ruber
127,8.0,0.0,0.0,same,8,8,absent,S_ruber
128,0.0,8.0,0.0,same,8,8,absent,S_ruber
129,8.0,0.0,0.0,same,8,8,absent,S_ruber
130,8.0,0.0,0.0,same,8,8,absent,S_ruber
131,0.0,8.0,0.0,same,8,8,absent,S_ruber
132,8.0,0.0,0.0,same,8,8,absent,S_ruber
133,1.0,7.0,0.0,different,8,8,absent,S_ruber
134,8.0,0.0,0.0,same,8,8,COG0307,S_ruber
135,8.0,0.0,0.0,same,8,8,absent,S_ruber
136,8.0,0.0,0.0,same,8,8,absent,S_ruber
137,8.0,0.0,0.0,same,8,8,absent,S_ruber
138,8.0,0.0,0.0,same,8,8,absent,S_ruber
139,8.0,0.0,0.0,same,8,8,COG0115,S_ruber
140,8.0,0.0,0.0,same,8,8,absent,S_ruber
141,0.0,8.0,0.0,same,8,8,absent,S_ruber
142,8.0,0.0,0.0,same,8,8,absent,S_ruber
143,8.0,0.0,0.0,same,8,8,absent,S_ruber
144,8.0,0.0,0.0,same,8,8,absent,S_ruber
145,8.0,0.0,0.0,same,8,8,COG0252,S_ruber
146,8.0,0.0,0.0,same,8,8,COG0046,S_ruber
147,8.0,0.0,0.0,same,8,8,COG0379,S_ruber
148,0.0,8.0,0.0,same,8,8,COG0745,S_ruber
149,8.0,0.0,0.0,same,8,8,absent,S_ruber
150,8.0,0.0,0.0,same,8,8,absent,S_ruber
151,8.0,0.0,0.0,same,8,8,absent,S_ruber
152,8.0,0.0,0.0,same,8,8,absent,S_ruber
153,8.0,0.0,0.0,same,8,8,absent,S_ruber
154,8.0,0.0,0.0,same,8,8,COG0447,S_ruber
155,8.0,0.0,0.0,same,8,8,absent,S_ruber
156,8.0,0.0,0.0,same,8,8,absent,S_ruber
157,8.0,0.0,0.0,same,8,8,absent,S_ruber
158,8.0,0.0,0.0,same,8,8,COG3186,S_ruber
159,8.0,0.0,0.0,same,8,8,absent,S_ruber
160,0.0,8.0,0.0,same,8,8,absent,S_ruber
161,8.0,0.0,0.0,same,8,8,absent,S_ruber
162,8.0,0.0,0.0,same,8,8,COG0059,S_ruber
163,8.0,0.0,0.0,same,8,8,absent,S_ruber
164,3.0,5.0,0.0,different,8,8,absent,S_ruber
165,8.0,0.0,0.0,same,8,8,absent,S_ruber
166,8.0,0.0,0.0,same,8,8,COG2133,S_ruber
167,8.0,0.0,0.0,same,8,8,absent,S_ruber
168,8.0,0.0,0.0,same,8,8,absent,S_ruber
169,8.0,0.0,0.0,same,8,8,COG1233,S_ruber
170,8.0,0.0,0.0,same,8,8,absent,S_ruber
171,8.0,0.0,0.0,same,8,8,COG1009,S_ruber
172,8.0,0.0,0.0,same,8,8,COG0634,S_ruber
173,8.0,0.0,0.0,same,8,8,COG0652,S_ruber
174,8.0,0.0,0.0,same,8,8,COG0204,S_ruber
175,8.0,0.0,0.0,same,8,8,COG0190,S_ruber
176,7.0,0.0,1.0,different,8,8,absent,S_ruber
177,2.0,6.0,0.0,different,8,8,absent,S_ruber
178,8.0,0.0,0.0,same,8,8,COG1765,S_ruber
179,8.0,0.0,0.0,same,8,8,absent,S_ruber
180,8.0,0.0,0.0,same,8,8,COG0239,S_ruber
181,8.0,0.0,0.0,same,8,8,absent,S_ruber
182,8.0,0.0,0.0,same,8,8,absent,S_ruber
183,8.0,0.0,0.0,same,8,8,absent,S_ruber
184,8.0,0.0,0.0,same,8,8,COG2978,S_ruber
185,0.0,8.0,0.0,same,8,8,absent,S_ruber
186,7.0,1.0,0.0,different,8,8,COG0488,S_ruber
187,6.0,2.0,0.0,different,8,8,absent,S_ruber
188,8.0,0.0,0.0,same,8,8,absent,S_ruber
189,8.0,0.0,0.0,same,8,8,absent,S_ruber
190,8.0,0.0,0.0,same,8,8,COG0084,S_ruber
191,8.0,0.0,0.0,same,8,8,absent,S_ruber
192,8.0,0.0,0.0,same,8,8,absent,S_ruber
193,8.0,0.0,0.0,same,8,8,absent,S_ruber
194,0.0,8.0,0.0,same,8,8,absent,S_ruber
195,8.0,0.0,0.0,same,8,8,absent,S_ruber
196,8.0,0.0,0.0,same,8,8,absent,S_ruber
197,8.0,0.0,0.0,same,8,8,COG0194,S_ruber
198,8.0,0.0,0.0,same,8,8,absent,S_ruber
199,8.0,0.0,0.0,same,8,8,COG0014,S_ruber
200,8.0,0.0,0.0,same,8,8,absent,S_ruber
201,8.0,0.0,0.0,same,8,8,absent,S_ruber
202,8.0,0.0,0.0,same,8,8,absent,S_ruber
203,8.0,0.0,0.0,same,8,8,absent,S_ruber
204,8.0,0.0,0.0,same,8,8,COG1252,S_ruber
205,8.0,0.0,0.0,same,8,8,absent,S_ruber
206,8.0,0.0,0.0,same,8,8,COG0596,S_ruber
207,8.0,0.0,0.0,same,8,8,absent,S_ruber
208,8.0,0.0,0.0,same,8,8,COG0720,S_ruber
209,8.0,0.0,0.0,same,8,8,absent,S_ruber
210,8.0,0.0,0.0,same,8,8,absent,S_ruber
211,8.0,0.0,0.0,same,8,8,absent,S_ruber
212,8.0,0.0,0.0,same,8,8,absent,S_ruber
213,8.0,0.0,0.0,same,8,8,absent,S_ruber
214,8.0,0.0,0.0,same,8,8,absent,S_ruber
215,8.0,0.0,0.0,same,8,8,absent,S_ruber
216,8.0,0.0,0.0,same,8,8,COG1225,S_ruber
217,8.0,0.0,0.0,same,8,8,absent,S_ruber
218,8.0,0.0,0.0,same,8,8,COG0016,S_ruber
219,8.0,0.0,0.0,same,8,8,COG0659,S_ruber
220,8.0,0.0,0.0,same,8,8,COG0284,S_ruber
221,8.0,0.0,0.0,same,8,8,absent,S_ruber
222,0.0,8.0,0.0,same,8,8,absent,S_ruber
223,8.0,0.0,0.0,same,8,8,absent,S_ruber
224,8.0,0.0,0.0,same,8,8,COG4175,S_ruber
225,8.0,0.0,0.0,same,8,8,absent,S_ruber
226,8.0,0.0,0.0,same,8,8,COG1488,S_ruber
227,8.0,0.0,0.0,same,8,8,absent,S_ruber
228,8.0,0.0,0.0,same,8,8,COG0119,S_ruber
229,8.0,0.0,0.0,same,8,8,absent,S_ruber
230,8.0,0.0,0.0,same,8,8,absent,S_ruber
231,8.0,0.0,0.0,same,8,8,absent,S_ruber
232,8.0,0.0,0.0,same,8,8,COG0569,S_ruber
233,0.0,8.0,0.0,same,8,8,absent,S_ruber
234,8.0,0.0,0.0,same,8,8,COG1191,S_ruber
235,8.0,0.0,0.0,same,8,8,absent,S_ruber
236,8.0,0.0,0.0,same,8,8,absent,S_ruber
237,8.0,0.0,0.0,same,8,8,COG3279,S_ruber
238,8.0,0.0,0.0,same,8,8,absent,S_ruber
239,8.0,0.0,0.0,same,8,8,absent,S_ruber
240,8.0,0.0,0.0,same,8,8,absent,S_ruber
241,8.0,0.0,0.0,same,8,8,absent,S_ruber
242,8.0,0.0,0.0,same,8,8,absent,S_ruber
243,8.0,0.0,0.0,same,8,8,absent,S_ruber
244,8.0,0.0,0.0,same,8,8,absent,S_ruber
245,0.0,8.0,0.0,same,8,8,COG1624,S_ruber
246,8.0,0.0,0.0,same,8,8,absent,S_ruber
247,8.0,0.0,0.0,same,8,8,absent,S_ruber
248,8.0,0.0,0.0,same,8,8,absent,S_ruber
249,8.0,0.0,0.0,same,8,8,absent,S_ruber
250,8.0,0.0,0.0,same,8,8,absent,S_ruber
251,8.0,0.0,0.0,same,8,8,absent,S_ruber
252,8.0,0.0,0.0,same,8,8,absent,S_ruber
253,8.0,0.0,0.0,same,8,8,absent,S_ruber
254,8.0,0.0,0.0,same,8,8,COG0396,S_ruber
255,8.0,0.0,0.0,same,8,8,absent,S_ruber
256,8.0,0.0,0.0,same,8,8,absent,S_ruber
257,8.0,0.0,0.0,same,8,8,absent,S_ruber
258,8.0,0.0,0.0,same,8,8,absent,S_ruber
259,8.0,0.0,0.0,same,8,8,absent,S_ruber
260,0.0,8.0,0.0,same,8,8,COG3279,S_ruber
261,8.0,0.0,0.0,same,8,8,absent,S_ruber
262,8.0,0.0,0.0,same,8,8,absent,S_ruber
263,8.0,0.0,0.0,same,8,8,absent,S_ruber
264,8.0,0.0,0.0,same,8,8,absent,S_ruber
265,0.0,8.0,0.0,same,8,8,absent,S_ruber
266,8.0,0.0,0.0,same,8,8,absent,S_ruber
267,8.0,0.0,0.0,same,8,8,COG0825,S_ruber
268,8.0,0.0,0.0,same,8,8,absent,S_ruber
269,8.0,0.0,0.0,same,8,8,absent,S_ruber
270,0.0,8.0,0.0,same,8,8,absent,S_ruber
271,8.0,0.0,0.0,same,8,8,absent,S_ruber
272,0.0,8.0,0.0,same,8,8,absent,S_ruber
273,7.0,1.0,0.0,different,8,8,absent,S_ruber
274,8.0,0.0,0.0,same,8,8,COG0039,S_ruber
275,8.0,0.0,0.0,same,8,8,absent,S_ruber
276,8.0,0.0,0.0,same,8,8,COG0230,S_ruber
277,8.0,0.0,0.0,same,8,8,COG0509,S_ruber
278,8.0,0.0,0.0,same,8,8,COG0245,S_ruber
279,8.0,0.0,0.0,same,8,8,absent,S_ruber
280,8.0,0.0,0.0,same,8,8,absent,S_ruber
281,8.0,0.0,0.0,same,8,8,absent,S_ruber
282,8.0,0.0,0.0,same,8,8,absent,S_ruber
283,8.0,0.0,0.0,same,8,8,COG0520,S_ruber
284,8.0,0.0,0.0,same,8,8,absent,S_ruber
285,8.0,0.0,0.0,same,8,8,COG0055,S_ruber
286,8.0,0.0,0.0,same,8,8,absent,S_ruber
287,8.0,0.0,0.0,same,8,8,COG0550,S_ruber
288,8.0,0.0,0.0,same,8,8,absent,S_ruber
289,8.0,0.0,0.0,same,8,8,absent,S_ruber
290,8.0,0.0,0.0,same,8,8,COG0031,S_ruber
291,8.0,0.0,0.0,same,8,8,COG0617,S_ruber
292,8.0,0.0,0.0,same,8,8,absent,S_ruber
293,8.0,0.0,0.0,same,8,8,absent,S_ruber
294,8.0,0.0,0.0,same,8,8,absent,S_ruber
295,8.0,0.0,0.0,same,8,8,absent,S_ruber
296,8.0,0.0,0.0,same,8,8,absent,S_ruber
297,8.0,0.0,0.0,same,8,8,absent,S_ruber
298,8.0,0.0,0.0,same,8,8,COG0346,S_ruber
299,8.0,0.0,0.0,same,8,8,COG0114,S_ruber
300,8.0,0.0,0.0,same,8,8,absent,S_ruber
301,8.0,0.0,0.0,same,8,8,absent,S_ruber
302,8.0,0.0,0.0,same,8,8,absent,S_ruber
303,8.0,0.0,0.0,same,8,8,absent,S_ruber
304,8.0,0.0,0.0,same,8,8,absent,S_ruber
305,0.0,8.0,0.0,same,8,8,absent,S_ruber
306,8.0,0.0,0.0,same,8,8,COG3380,S_ruber
307,8.0,0.0,0.0,same,8,8,absent,S_ruber
308,8.0,0.0,0.0,same,8,8,COG0266,S_ruber
309,8.0,0.0,0.0,same,8,8,absent,S_ruber
310,8.0,0.0,0.0,same,8,8,absent,S_ruber
311,8.0,0.0,0.0,same,8,8,COG1363,S_ruber
312,8.0,0.0,0.0,same,8,8,absent,S_ruber
313,8.0,0.0,0.0,same,8,8,absent,S_ruber
314,8.0,0.0,0.0,same,8,8,absent,S_ruber
315,8.0,0.0,0.0,same,8,8,absent,S_ruber
316,8.0,0.0,0.0,same,8,8,absent,S_ruber
317,7.0,1.0,0.0,different,8,8,absent,S_ruber
318,0.0,0.0,8.0,same,8,8,absent,S_ruber
319,8.0,0.0,0.0,same,8,8,absent,S_ruber
320,8.0,0.0,0.0,same,8,8,COG0233,S_ruber
321,8.0,0.0,0.0,same,8,8,absent,S_ruber
322,8.0,0.0,0.0,same,8,8,COG1005,S_ruber
323,8.0,0.0,0.0,same,8,8,absent,S_ruber
324,0.0,0.0,8.0,same,8,8,COG1702,S_ruber
325,8.0,0.0,0.0,same,8,8,COG0320,S_ruber
326,8.0,0.0,0.0,same,8,8,absent,S_ruber
327,8.0,0.0,0.0,same,8,8,absent,S_ruber
328,8.0,0.0,0.0,same,8,8,absent,S_ruber
329,8.0,0.0,0.0,same,8,8,absent,S_ruber
330,1.0,7.0,0.0,different,8,8,absent,S_ruber
331,8.0,0.0,0.0,same,8,8,absent,S_ruber
332,8.0,0.0,0.0,same,8,8,COG0571,S_ruber
333,8.0,0.0,0.0,same,8,8,absent,S_ruber
334,8.0,0.0,0.0,same,8,8,absent,S_ruber
335,8.0,0.0,0.0,same,8,8,absent,S_ruber
336,2.0,6.0,0.0,different,8,8,absent,S_ruber
337,8.0,0.0,0.0,same,8,8,absent,S_ruber
338,8.0,0.0,0.0,same,8,8,absent,S_ruber
339,4.0,4.0,0.0,different,8,8,absent,S_ruber
340,0.0,8.0,0.0,same,8,8,absent,S_ruber
341,8.0,0.0,0.0,same,8,8,absent,S_ruber
342,8.0,0.0,0.0,same,8,8,absent,S_ruber
343,8.0,0.0,0.0,same,8,8,COG0469,S_ruber
344,0.0,8.0,0.0,same,8,8,absent,S_ruber
345,8.0,0.0,0.0,same,8,8,absent,S_ruber
346,8.0,0.0,0.0,same,8,8,absent,S_ruber
347,8.0,0.0,0.0,same,8,8,absent,S_ruber
348,8.0,0.0,0.0,same,8,8,absent,S_ruber
349,8.0,0.0,0.0,same,8,8,absent,S_ruber
350,8.0,0.0,0.0,same,8,8,absent,S_ruber
351,8.0,0.0,0.0,same,8,8,COG0740,S_ruber
352,8.0,0.0,0.0,same,8,8,COG2154,S_ruber
353,8.0,0.0,0.0,same,8,8,absent,S_ruber
354,0.0,8.0,0.0,same,8,8,absent,S_ruber
355,8.0,0.0,0.0,same,8,8,absent,S_ruber
356,8.0,0.0,0.0,same,8,8,COG0439,S_ruber
357,8.0,0.0,0.0,same,8,8,absent,S_ruber
358,8.0,0.0,0.0,same,8,8,absent,S_ruber
359,8.0,0.0,0.0,same,8,8,absent,S_ruber
360,7.0,1.0,0.0,different,8,8,absent,S_ruber
361,8.0,0.0,0.0,same,8,8,absent,S_ruber
362,8.0,0.0,0.0,same,8,8,absent,S_ruber
363,8.0,0.0,0.0,same,8,8,COG0573,S_ruber
364,6.0,2.0,0.0,different,8,8,COG0557,S_ruber
365,8.0,0.0,0.0,same,8,8,absent,S_ruber
366,8.0,0.0,0.0,same,8,8,absent,S_ruber
367,8.0,0.0,0.0,same,8,8,COG0704,S_ruber
368,8.0,0.0,0.0,same,8,8,absent,S_ruber
369,8.0,0.0,0.0,same,8,8,COG0215,S_ruber
370,8.0,0.0,0.0,same,8,8,COG0006,S_ruber
371,8.0,0.0,0.0,same,8,8,absent,S_ruber
372,8.0,0.0,0.0,same,8,8,absent,S_ruber
373,8.0,0.0,0.0,same,8,8,absent,S_ruber
374,8.0,0.0,0.0,same,8,8,COG0505,S_ruber
375,8.0,0.0,0.0,same,8,8,absent,S_ruber
376,8.0,0.0,0.0,same,8,8,absent,S_ruber
377,8.0,0.0,0.0,same,8,8,absent,S_ruber
378,7.0,0.0,1.0,different,8,8,absent,S_ruber
379,8.0,0.0,0.0,same,8,8,absent,S_ruber
380,8.0,0.0,0.0,same,8,8,absent,S_ruber
381,8.0,0.0,0.0,same,8,8,COG0165,S_ruber
382,8.0,0.0,0.0,same,8,8,absent,S_ruber
383,8.0,0.0,0.0,same,8,8,absent,S_ruber
384,8.0,0.0,0.0,same,8,8,absent,S_ruber
385,4.0,4.0,0.0,different,8,8,absent,S_ruber
386,8.0,0.0,0.0,same,8,8,absent,S_ruber
387,8.0,0.0,0.0,same,8,8,COG1053,S_ruber
388,8.0,0.0,0.0,same,8,8,absent,S_ruber
389,0.0,8.0,0.0,same,8,8,COG2111,S_ruber
390,8.0,0.0,0.0,same,8,8,absent,S_ruber
391,8.0,0.0,0.0,same,8,8,absent,S_ruber
392,8.0,0.0,0.0,same,8,8,absent,S_ruber
393,8.0,0.0,0.0,same,8,8,absent,S_ruber
394,8.0,0.0,0.0,same,8,8,absent,S_ruber
395,8.0,0.0,0.0,same,8,8,COG0843,S_ruber
396,8.0,0.0,0.0,same,8,8,absent,S_ruber
397,8.0,0.0,0.0,same,8,8,absent,S_ruber
398,5.0,3.0,0.0,different,8,8,absent,S_ruber
399,8.0,0.0,0.0,same,8,8,absent,S_ruber
400,8.0,0.0,0.0,same,8,8,absent,S_ruber
401,8.0,0.0,0.0,same,8,8,absent,S_ruber
402,8.0,0.0,0.0,same,8,8,absent,S_ruber
403,8.0,0.0,0.0,same,8,8,COG0268,S_ruber
404,8.0,0.0,0.0,same,8,8,absent,S_ruber
405,8.0,0.0,0.0,same,8,8,COG2197,S_ruber
406,8.0,0.0,0.0,same,8,8,absent,S_ruber
407,8.0,0.0,0.0,same,8,8,COG0404,S_ruber
408,8.0,0.0,0.0,same,8,8,absent,S_ruber
409,8.0,0.0,0.0,same,8,8,absent,S_ruber
410,8.0,0.0,0.0,same,8,8,absent,S_ruber
411,8.0,0.0,0.0,same,8,8,COG1087,S_ruber
412,8.0,0.0,0.0,same,8,8,absent,S_ruber
413,8.0,0.0,0.0,same,8,8,COG0819,S_ruber
414,8.0,0.0,0.0,same,8,8,absent,S_ruber
415,8.0,0.0,0.0,same,8,8,absent,S_ruber
416,8.0,0.0,0.0,same,8,8,absent,S_ruber
417,8.0,0.0,0.0,same,8,8,absent,S_ruber
418,8.0,0.0,0.0,same,8,8,absent,S_ruber
419,0.0,8.0,0.0,same,8,8,absent,S_ruber
420,8.0,0.0,0.0,same,8,8,absent,S_ruber
421,8.0,0.0,0.0,same,8,8,COG0334,S_ruber
422,0.0,8.0,0.0,same,8,8,COG2503,S_ruber
423,8.0,0.0,0.0,same,8,8,absent,S_ruber
424,8.0,0.0,0.0,same,8,8,COG1008,S_ruber
425,0.0,8.0,0.0,same,8,8,absent,S_ruber
426,8.0,0.0,0.0,same,8,8,COG0486,S_ruber
427,8.0,0.0,0.0,same,8,8,absent,S_ruber
428,8.0,0.0,0.0,same,8,8,COG1894,S_ruber
429,8.0,0.0,0.0,same,8,8,absent,S_ruber
430,8.0,0.0,0.0,same,8,8,COG0849,S_ruber
431,8.0,0.0,0.0,same,8,8,absent,S_ruber
432,8.0,0.0,0.0,same,8,8,absent,S_ruber
433,8.0,0.0,0.0,same,8,8,absent,S_ruber
434,8.0,0.0,0.0,same,8,8,COG1828,S_ruber
435,8.0,0.0,0.0,same,8,8,absent,S_ruber
436,8.0,0.0,0.0,same,8,8,COG1185,S_ruber
437,8.0,0.0,0.0,same,8,8,COG4799,S_ruber
438,8.0,0.0,0.0,same,8,8,absent,S_ruber
439,8.0,0.0,0.0,same,8,8,absent,S_ruber
440,8.0,0.0,0.0,same,8,8,COG0798,S_ruber
441,8.0,0.0,0.0,same,8,8,absent,S_ruber
442,8.0,0.0,0.0,same,8,8,COG0364,S_ruber
443,8.0,0.0,0.0,same,8,8,COG4176,S_ruber
444,8.0,0.0,0.0,same,8,8,absent,S_ruber
445,8.0,0.0,0.0,same,8,8,absent,S_ruber
446,8.0,0.0,0.0,same,8,8,absent,S_ruber
447,8.0,0.0,0.0,same,8,8,absent,S_ruber
448,8.0,0.0,0.0,same,8,8,COG1354,S_ruber
449,8.0,0.0,0.0,same,8,8,COG0721,S_ruber
450,8.0,0.0,0.0,same,8,8,absent,S_ruber
451,8.0,0.0,0.0,same,8,8,COG0101,S_ruber
452,8.0,0.0,0.0,same,8,8,absent,S_ruber
453,0.0,8.0,0.0,same,8,8,absent,S_ruber
454,8.0,0.0,0.0,same,8,8,COG0481,S_ruber
455,8.0,0.0,0.0,same,8,8,absent,S_ruber
456,8.0,0.0,0.0,same,8,8,COG1538,S_ruber
457,8.0,0.0,0.0,same,8,8,absent,S_ruber
458,8.0,0.0,0.0,same,8,8,absent,S_ruber
459,0.0,8.0,0.0,same,8,8,COG0072,S_ruber
460,8.0,0.0,0.0,same,8,8,absent,S_ruber
461,8.0,0.0,0.0,same,8,8,absent,S_ruber
462,8.0,0.0,0.0,same,8,8,COG0415,S_ruber
463,8.0,0.0,0.0,same,8,8,absent,S_ruber
464,0.0,8.0,0.0,same,8,8,COG1559,S_ruber
465,8.0,0.0,0.0,same,8,8,absent,S_ruber
466,8.0,0.0,0.0,same,8,8,COG0150,S_ruber
467,8.0,0.0,0.0,same,8,8,absent,S_ruber
468,8.0,0.0,0.0,same,8,8,absent,S_ruber
469,8.0,0.0,0.0,same,8,8,absent,S_ruber
470,8.0,0.0,0.0,same,8,8,absent,S_ruber
471,8.0,0.0,0.0,same,8,8,COG0091,S_ruber
472,8.0,0.0,0.0,same,8,8,absent,S_ruber
473,8.0,0.0,0.0,same,8,8,absent,S_ruber
474,8.0,0.0,0.0,same,8,8,absent,S_ruber
475,8.0,0.0,0.0,same,8,8,absent,S_ruber
476,8.0,0.0,0.0,same,8,8,absent,S_ruber
477,7.0,1.0,0.0,different,8,8,COG0667,S_ruber
478,8.0,0.0,0.0,same,8,8,COG2518,S_ruber
479,8.0,0.0,0.0,same,8,8,absent,S_ruber
480,8.0,0.0,0.0,same,8,8,absent,S_ruber
481,8.0,0.0,0.0,same,8,8,absent,S_ruber
482,7.0,1.0,0.0,different,8,8,absent,S_ruber
483,8.0,0.0,0.0,same,8,8,COG1575,S_ruber
484,7.0,1.0,0.0,different,8,8,absent,S_ruber
485,8.0,0.0,0.0,same,8,8,absent,S_ruber
486,8.0,0.0,0.0,same,8,8,absent,S_ruber
487,8.0,0.0,0.0,same,8,8,absent,S_ruber
488,8.0,0.0,0.0,same,8,8,absent,S_ruber
489,8.0,0.0,0.0,same,8,8,COG2201,S_ruber
490,8.0,0.0,0.0,same,8,8,COG0552,S_ruber
491,8.0,0.0,0.0,same,8,8,absent,S_ruber
492,8.0,0.0,0.0,same,8,8,absent,S_ruber
493,8.0,0.0,0.0,same,8,8,COG1741,S_ruber
494,8.0,0.0,0.0,same,8,8,absent,S_ruber
495,8.0,0.0,0.0,same,8,8,COG1866,S_ruber
496,8.0,0.0,0.0,same,8,8,COG1063,S_ruber
497,8.0,0.0,0.0,same,8,8,absent,S_ruber
498,8.0,0.0,0.0,same,8,8,absent,S_ruber
499,8.0,0.0,0.0,same,8,8,absent,S_ruber
500,8.0,0.0,0.0,same,8,8,absent,S_ruber
501,8.0,0.0,0.0,same,8,8,COG0793,S_ruber
502,8.0,0.0,0.0,same,8,8,absent,S_ruber
503,0.0,8.0,0.0,same,8,8,absent,S_ruber
