ortologus_row,start_codons,ATG,GTG,TTG,uniformity,Species,Genes,Alg.-Conn.,S_ruber0.fasta,S_ruber1.fasta,S_ruber2.fasta,S_ruber3.fasta,S_ruber4.fasta,S_ruber5.fasta,S_ruber6.fasta,S_ruber7.fasta,cog,organism
44,"['ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG']",8.0,0.0,0.0,same,8,8,@1012138126:0.956,BJLFMBCO_01847_S_ruber0_5,GNNGOPDE_01987_S_ruber1_3,DFALBHKG_01859_S_ruber2_4,NHIKOAIL_01895_S_ruber3_5,KFBDFGIE_01826_S_ruber4_1,MENLLFMI_01899_S_ruber5_1,FBNFPFMN_01934_S_ruber6_2,HOOJEANF_01873_S_ruber7_2,absent,S_ruber
45,"['ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG']",8.0,0.0,0.0,same,8,8,@1013598546:0.959,BJLFMBCO_01306_S_ruber0_5,GNNGOPDE_01428_S_ruber1_3,DFALBHKG_01299_S_ruber2_4,NHIKOAIL_01345_S_ruber3_5,KFBDFGIE_01261_S_ruber4_1,MENLLFMI_01351_S_ruber5_1,FBNFPFMN_01380_S_ruber6_2,HOOJEANF_01330_S_ruber7_2,COG1232,S_ruber
46,"['ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG']",8.0,0.0,0.0,same,8,8,@101496952:0.958,BJLFMBCO_02794_S_ruber0_5,GNNGOPDE_03069_S_ruber1_3,DFALBHKG_02847_S_ruber2_4,NHIKOAIL_02967_S_ruber3_5,KFBDFGIE_02941_S_ruber4_1,MENLLFMI_02898_S_ruber5_1,FBNFPFMN_02896_S_ruber6_2,HOOJEANF_02837_S_ruber7_2,absent,S_ruber
47,"['ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG']",8.0,0.0,0.0,same,8,8,@1016437464:0.968,BJLFMBCO_02802_S_ruber0_5,GNNGOPDE_03077_S_ruber1_3,DFALBHKG_02855_S_ruber2_4,NHIKOAIL_02976_S_ruber3_5,KFBDFGIE_02949_S_ruber4_1,MENLLFMI_02906_S_ruber5_1,FBNFPFMN_02904_S_ruber6_2,HOOJEANF_02845_S_ruber7_2,absent,S_ruber
48,"['ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG']",8.0,0.0,0.0,same,8,8,@1019828884:0.942,BJLFMBCO_01122_S_ruber0_5,GNNGOPDE_01244_S_ruber1_3,DFALBHKG_01112_S_ruber2_4,NHIKOAIL_01160_S_ruber3_5,KFBDFGIE_01078_S_ruber4_1,MENLLFMI_01158_S_ruber5_1,FBNFPFMN_01192_S_ruber6_2,HOOJEANF_01107_S_ruber7_2,absent,S_ruber
49,"['ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG']",8.0,0.0,0.0,same,8,8,@1020335036:0.947,BJLFMBCO_01925_S_ruber0_5,GNNGOPDE_02077_S_ruber1_3,DFALBHKG_01937_S_ruber2_4,NHIKOAIL_01975_S_ruber3_5,KFBDFGIE_01907_S_ruber4_1,MENLLFMI_01977_S_ruber5_1,FBNFPFMN_02014_S_ruber6_2,HOOJEANF_01951_S_ruber7_2,absent,S_ruber
50,"['ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG']",8.0,0.0,0.0,same,8,8,@1022102704:0.931,BJLFMBCO_02754_S_ruber0_5,GNNGOPDE_03025_S_ruber1_3,DFALBHKG_02808_S_ruber2_4,NHIKOAIL_02924_S_ruber3_5,KFBDFGIE_02898_S_ruber4_1,MENLLFMI_02855_S_ruber5_1,FBNFPFMN_02851_S_ruber6_2,HOOJEANF_02792_S_ruber7_2,COG1536,S_ruber
51,"['ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG']",8.0,0.0,0.0,same,8,8,@1023570632:0.969,BJLFMBCO_02022_S_ruber0_5,GNNGOPDE_02170_S_ruber1_3,DFALBHKG_02035_S_ruber2_4,NHIKOAIL_02070_S_ruber3_5,KFBDFGIE_02003_S_ruber4_1,MENLLFMI_02097_S_ruber5_1,FBNFPFMN_02107_S_ruber6_2,HOOJEANF_02042_S_ruber7_2,absent,S_ruber
52,"['ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG']",8.0,0.0,0.0,same,8,8,@1026175156:0.969,BJLFMBCO_02429_S_ruber0_5,GNNGOPDE_02598_S_ruber1_3,DFALBHKG_02477_S_ruber2_4,NHIKOAIL_02498_S_ruber3_5,KFBDFGIE_02581_S_ruber4_1,MENLLFMI_02531_S_ruber5_1,FBNFPFMN_02531_S_ruber6_2,HOOJEANF_02469_S_ruber7_2,COG0117,S_ruber
53,"['ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG']",8.0,0.0,0.0,same,8,8,@10262948:0.966,BJLFMBCO_01495_S_ruber0_5,GNNGOPDE_01622_S_ruber1_3,DFALBHKG_01491_S_ruber2_4,NHIKOAIL_01539_S_ruber3_5,KFBDFGIE_01462_S_ruber4_1,MENLLFMI_01542_S_ruber5_1,FBNFPFMN_01574_S_ruber6_2,HOOJEANF_01522_S_ruber7_2,COG0530,S_ruber
54,"['ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG']",8.0,0.0,0.0,same,8,8,@1027175836:0.912,BJLFMBCO_02043_S_ruber0_5,GNNGOPDE_02195_S_ruber1_3,DFALBHKG_02061_S_ruber2_4,NHIKOAIL_02095_S_ruber3_5,KFBDFGIE_02029_S_ruber4_1,MENLLFMI_02123_S_ruber5_1,FBNFPFMN_02135_S_ruber6_2,HOOJEANF_02068_S_ruber7_2,absent,S_ruber
55,"['ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG']",8.0,0.0,0.0,same,8,8,@1030184376:0.951,BJLFMBCO_01969_S_ruber0_5,GNNGOPDE_02122_S_ruber1_3,DFALBHKG_01981_S_ruber2_4,NHIKOAIL_02019_S_ruber3_5,KFBDFGIE_01951_S_ruber4_1,MENLLFMI_02021_S_ruber5_1,FBNFPFMN_02058_S_ruber6_2,HOOJEANF_01995_S_ruber7_2,COG0172,S_ruber
56,"['ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG']",8.0,0.0,0.0,same,8,8,@1030250860:0.961,BJLFMBCO_02241_S_ruber0_5,GNNGOPDE_02389_S_ruber1_3,DFALBHKG_02252_S_ruber2_4,NHIKOAIL_02279_S_ruber3_5,KFBDFGIE_02359_S_ruber4_1,MENLLFMI_02315_S_ruber5_1,FBNFPFMN_02313_S_ruber6_2,HOOJEANF_02250_S_ruber7_2,absent,S_ruber
57,"['ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG']",8.0,0.0,0.0,same,8,8,@1033298008:0.968,BJLFMBCO_01138_S_ruber0_5,GNNGOPDE_01259_S_ruber1_3,DFALBHKG_01128_S_ruber2_4,NHIKOAIL_01175_S_ruber3_5,KFBDFGIE_01093_S_ruber4_1,MENLLFMI_01173_S_ruber5_1,FBNFPFMN_01207_S_ruber6_2,HOOJEANF_01122_S_ruber7_2,COG0051,S_ruber
58,"['ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG']",8.0,0.0,0.0,same,8,8,@1034042870:0.946,BJLFMBCO_00003_S_ruber0_5,GNNGOPDE_00003_S_ruber1_3,DFALBHKG_00003_S_ruber2_4,NHIKOAIL_00003_S_ruber3_5,KFBDFGIE_00003_S_ruber4_1,MENLLFMI_00003_S_ruber5_1,FBNFPFMN_00003_S_ruber6_2,HOOJEANF_00003_S_ruber7_2,absent,S_ruber
59,"['ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG']",8.0,0.0,0.0,same,8,8,@1035752848:0.965,BJLFMBCO_01646_S_ruber0_5,GNNGOPDE_01772_S_ruber1_3,DFALBHKG_01639_S_ruber2_4,NHIKOAIL_01690_S_ruber3_5,KFBDFGIE_01608_S_ruber4_1,MENLLFMI_01697_S_ruber5_1,FBNFPFMN_01725_S_ruber6_2,HOOJEANF_01673_S_ruber7_2,absent,S_ruber
60,"['ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG']",8.0,0.0,0.0,same,8,8,@1036926038:0.938,BJLFMBCO_00065_S_ruber0_5,GNNGOPDE_00065_S_ruber1_3,DFALBHKG_00067_S_ruber2_4,NHIKOAIL_00066_S_ruber3_5,KFBDFGIE_00065_S_ruber4_1,MENLLFMI_00077_S_ruber5_1,FBNFPFMN_00066_S_ruber6_2,HOOJEANF_00066_S_ruber7_2,COG1073,S_ruber
61,"['ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG']",8.0,0.0,0.0,same,8,8,@1037058630:0.956,BJLFMBCO_00557_S_ruber0_5,GNNGOPDE_00627_S_ruber1_3,DFALBHKG_00547_S_ruber2_4,NHIKOAIL_00539_S_ruber3_5,KFBDFGIE_00493_S_ruber4_1,MENLLFMI_00559_S_ruber5_1,FBNFPFMN_00534_S_ruber6_2,HOOJEANF_00513_S_ruber7_2,COG4770,S_ruber
62,"['ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG']",8.0,0.0,0.0,same,8,8,@1037298554:0.961,BJLFMBCO_02709_S_ruber0_5,GNNGOPDE_02980_S_ruber1_3,DFALBHKG_02761_S_ruber2_4,NHIKOAIL_02879_S_ruber3_5,KFBDFGIE_02852_S_ruber4_1,MENLLFMI_02810_S_ruber5_1,FBNFPFMN_02806_S_ruber6_2,HOOJEANF_02746_S_ruber7_2,COG0846,S_ruber
63,"['ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG']",8.0,0.0,0.0,same,8,8,@1037538612:0.967,BJLFMBCO_00818_S_ruber0_5,GNNGOPDE_00941_S_ruber1_3,DFALBHKG_00806_S_ruber2_4,NHIKOAIL_00853_S_ruber3_5,KFBDFGIE_00772_S_ruber4_1,MENLLFMI_00854_S_ruber5_1,FBNFPFMN_00887_S_ruber6_2,HOOJEANF_00810_S_ruber7_2,absent,S_ruber
64,"['ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG']",8.0,0.0,0.0,same,8,8,@1045878950:0.962,BJLFMBCO_00510_S_ruber0_5,GNNGOPDE_00579_S_ruber1_3,DFALBHKG_00500_S_ruber2_4,NHIKOAIL_00490_S_ruber3_5,KFBDFGIE_00445_S_ruber4_1,MENLLFMI_00512_S_ruber5_1,FBNFPFMN_00487_S_ruber6_2,HOOJEANF_00465_S_ruber7_2,COG0207,S_ruber
65,"['GTG', 'GTG', 'GTG', 'GTG', 'GTG', 'GTG', 'GTG', 'GTG']",0.0,8.0,0.0,same,8,8,@1047050808:0.962,BJLFMBCO_01260_S_ruber0_5,GNNGOPDE_01382_S_ruber1_3,DFALBHKG_01253_S_ruber2_4,NHIKOAIL_01298_S_ruber3_5,KFBDFGIE_01214_S_ruber4_1,MENLLFMI_01304_S_ruber5_1,FBNFPFMN_01331_S_ruber6_2,HOOJEANF_01284_S_ruber7_2,COG0508,S_ruber
66,"['ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG']",8.0,0.0,0.0,same,8,8,@1050272164:0.967,BJLFMBCO_01786_S_ruber0_5,GNNGOPDE_01919_S_ruber1_3,DFALBHKG_01791_S_ruber2_4,NHIKOAIL_01833_S_ruber3_5,KFBDFGIE_01766_S_ruber4_1,MENLLFMI_01838_S_ruber5_1,FBNFPFMN_01866_S_ruber6_2,HOOJEANF_01812_S_ruber7_2,absent,S_ruber
67,"['ATG', 'ATG', 'ATG', 'ATG', 'GTG', 'ATG', 'ATG', 'ATG']",7.0,1.0,0.0,different,8,8,@105163356:0.806,BJLFMBCO_01744_S_ruber0_5,GNNGOPDE_01875_S_ruber1_3,DFALBHKG_01746_S_ruber2_4,NHIKOAIL_01790_S_ruber3_5,KFBDFGIE_01724_S_ruber4_1,MENLLFMI_01794_S_ruber5_1,FBNFPFMN_01822_S_ruber6_2,HOOJEANF_01770_S_ruber7_2,absent,S_ruber
68,"['ATG', 'GTG', 'GTG', 'ATG', 'GTG', 'GTG', 'ATG', 'GTG']",3.0,5.0,0.0,different,8,8,@1052858872:0.915,BJLFMBCO_01704_S_ruber0_5,GNNGOPDE_01835_S_ruber1_3,DFALBHKG_01707_S_ruber2_4,NHIKOAIL_01749_S_ruber3_5,KFBDFGIE_01668_S_ruber4_1,MENLLFMI_01754_S_ruber5_1,FBNFPFMN_01782_S_ruber6_2,HOOJEANF_01730_S_ruber7_2,absent,S_ruber
69,"['ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG']",8.0,0.0,0.0,same,8,8,@1054341914:0.967,BJLFMBCO_02354_S_ruber0_5,GNNGOPDE_02528_S_ruber1_3,DFALBHKG_02399_S_ruber2_4,NHIKOAIL_02417_S_ruber3_5,KFBDFGIE_02502_S_ruber4_1,MENLLFMI_02455_S_ruber5_1,FBNFPFMN_02453_S_ruber6_2,HOOJEANF_02391_S_ruber7_2,absent,S_ruber
70,"['ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG']",8.0,0.0,0.0,same,8,8,@1054470674:0.949,BJLFMBCO_00783_S_ruber0_5,GNNGOPDE_00906_S_ruber1_3,DFALBHKG_00770_S_ruber2_4,NHIKOAIL_00818_S_ruber3_5,KFBDFGIE_00732_S_ruber4_1,MENLLFMI_00817_S_ruber5_1,FBNFPFMN_00852_S_ruber6_2,HOOJEANF_00769_S_ruber7_2,absent,S_ruber
71,"['ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG']",8.0,0.0,0.0,same,8,8,@1054639998:0.954,BJLFMBCO_01070_S_ruber0_5,GNNGOPDE_01197_S_ruber1_3,DFALBHKG_01065_S_ruber2_4,NHIKOAIL_01113_S_ruber3_5,KFBDFGIE_01025_S_ruber4_1,MENLLFMI_01111_S_ruber5_1,FBNFPFMN_01144_S_ruber6_2,HOOJEANF_01060_S_ruber7_2,absent,S_ruber
72,"['ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG']",8.0,0.0,0.0,same,8,8,@1057403396:0.947,BJLFMBCO_01436_S_ruber0_5,GNNGOPDE_01560_S_ruber1_3,DFALBHKG_01432_S_ruber2_4,NHIKOAIL_01479_S_ruber3_5,KFBDFGIE_01397_S_ruber4_1,MENLLFMI_01483_S_ruber5_1,FBNFPFMN_01514_S_ruber6_2,HOOJEANF_01460_S_ruber7_2,absent,S_ruber
73,"['ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG']",8.0,0.0,0.0,same,8,8,@1058028136:0.966,BJLFMBCO_02300_S_ruber0_5,GNNGOPDE_02467_S_ruber1_3,DFALBHKG_02333_S_ruber2_4,NHIKOAIL_02358_S_ruber3_5,KFBDFGIE_02438_S_ruber4_1,MENLLFMI_02393_S_ruber5_1,FBNFPFMN_02391_S_ruber6_2,HOOJEANF_02329_S_ruber7_2,COG1132,S_ruber
74,"['ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG']",8.0,0.0,0.0,same,8,8,@1058031688:0.966,BJLFMBCO_02883_S_ruber0_5,GNNGOPDE_03160_S_ruber1_3,DFALBHKG_02935_S_ruber2_4,NHIKOAIL_03057_S_ruber3_5,KFBDFGIE_03030_S_ruber4_1,MENLLFMI_02986_S_ruber5_1,FBNFPFMN_02985_S_ruber6_2,HOOJEANF_02928_S_ruber7_2,COG0637,S_ruber
75,"['ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG']",8.0,0.0,0.0,same,8,8,@1058245854:0.93,BJLFMBCO_02780_S_ruber0_5,GNNGOPDE_03054_S_ruber1_3,DFALBHKG_02832_S_ruber2_4,NHIKOAIL_02950_S_ruber3_5,KFBDFGIE_02926_S_ruber4_1,MENLLFMI_02883_S_ruber5_1,FBNFPFMN_02881_S_ruber6_2,HOOJEANF_02820_S_ruber7_2,absent,S_ruber
76,"['ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG']",8.0,0.0,0.0,same,8,8,@1059774658:0.956,BJLFMBCO_01873_S_ruber0_5,GNNGOPDE_02013_S_ruber1_3,DFALBHKG_01885_S_ruber2_4,NHIKOAIL_01922_S_ruber3_5,KFBDFGIE_01854_S_ruber4_1,MENLLFMI_01925_S_ruber5_1,FBNFPFMN_01960_S_ruber6_2,HOOJEANF_01899_S_ruber7_2,absent,S_ruber
77,"['ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG']",8.0,0.0,0.0,same,8,8,@1064751634:0.967,BJLFMBCO_01267_S_ruber0_5,GNNGOPDE_01389_S_ruber1_3,DFALBHKG_01260_S_ruber2_4,NHIKOAIL_01305_S_ruber3_5,KFBDFGIE_01221_S_ruber4_1,MENLLFMI_01311_S_ruber5_1,FBNFPFMN_01338_S_ruber6_2,HOOJEANF_01291_S_ruber7_2,absent,S_ruber
78,"['ATG', 'GTG', 'GTG', 'ATG', 'GTG', 'ATG', 'ATG', 'GTG']",4.0,4.0,0.0,different,8,8,@1067881326:0.879,BJLFMBCO_01613_S_ruber0_5,GNNGOPDE_01740_S_ruber1_3,DFALBHKG_01606_S_ruber2_4,NHIKOAIL_01658_S_ruber3_5,KFBDFGIE_01575_S_ruber4_1,MENLLFMI_01663_S_ruber5_1,FBNFPFMN_01693_S_ruber6_2,HOOJEANF_01639_S_ruber7_2,COG4591,S_ruber
79,"['ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG']",8.0,0.0,0.0,same,8,8,@1069250302:0.969,BJLFMBCO_00794_S_ruber0_5,GNNGOPDE_00917_S_ruber1_3,DFALBHKG_00781_S_ruber2_4,NHIKOAIL_00829_S_ruber3_5,KFBDFGIE_00743_S_ruber4_1,MENLLFMI_00828_S_ruber5_1,FBNFPFMN_00863_S_ruber6_2,HOOJEANF_00782_S_ruber7_2,absent,S_ruber
80,"['ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG']",8.0,0.0,0.0,same,8,8,@1069913364:0.934,BJLFMBCO_02240_S_ruber0_5,GNNGOPDE_02388_S_ruber1_3,DFALBHKG_02251_S_ruber2_4,NHIKOAIL_02278_S_ruber3_5,KFBDFGIE_02358_S_ruber4_1,MENLLFMI_02314_S_ruber5_1,FBNFPFMN_02312_S_ruber6_2,HOOJEANF_02249_S_ruber7_2,absent,S_ruber
81,"['ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG']",8.0,0.0,0.0,same,8,8,@107278656:0.96,BJLFMBCO_00875_S_ruber0_5,GNNGOPDE_01000_S_ruber1_3,DFALBHKG_00863_S_ruber2_4,NHIKOAIL_00911_S_ruber3_5,KFBDFGIE_00828_S_ruber4_1,MENLLFMI_00910_S_ruber5_1,FBNFPFMN_00946_S_ruber6_2,HOOJEANF_00866_S_ruber7_2,absent,S_ruber
82,"['GTG', 'GTG', 'GTG', 'GTG', 'GTG', 'GTG', 'GTG', 'GTG']",0.0,8.0,0.0,same,8,8,@1074365526:0.932,BJLFMBCO_00583_S_ruber0_5,GNNGOPDE_00653_S_ruber1_3,DFALBHKG_00574_S_ruber2_4,NHIKOAIL_00565_S_ruber3_5,KFBDFGIE_00521_S_ruber4_1,MENLLFMI_00585_S_ruber5_1,FBNFPFMN_00561_S_ruber6_2,HOOJEANF_00539_S_ruber7_2,COG0757,S_ruber
83,"['ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG']",8.0,0.0,0.0,same,8,8,@1076032986:0.852,BJLFMBCO_00068_S_ruber0_5,GNNGOPDE_00067_S_ruber1_3,DFALBHKG_00069_S_ruber2_4,NHIKOAIL_00068_S_ruber3_5,KFBDFGIE_00067_S_ruber4_1,MENLLFMI_00079_S_ruber5_1,FBNFPFMN_00069_S_ruber6_2,HOOJEANF_00068_S_ruber7_2,absent,S_ruber
84,"['ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG']",8.0,0.0,0.0,same,8,8,@107609246:0.961,BJLFMBCO_00835_S_ruber0_5,GNNGOPDE_00958_S_ruber1_3,DFALBHKG_00823_S_ruber2_4,NHIKOAIL_00871_S_ruber3_5,KFBDFGIE_00789_S_ruber4_1,MENLLFMI_00871_S_ruber5_1,FBNFPFMN_00904_S_ruber6_2,HOOJEANF_00827_S_ruber7_2,absent,S_ruber
85,"['ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG']",8.0,0.0,0.0,same,8,8,@1076518270:0.961,BJLFMBCO_00566_S_ruber0_5,GNNGOPDE_00636_S_ruber1_3,DFALBHKG_00557_S_ruber2_4,NHIKOAIL_00548_S_ruber3_5,KFBDFGIE_00502_S_ruber4_1,MENLLFMI_00568_S_ruber5_1,FBNFPFMN_00543_S_ruber6_2,HOOJEANF_00522_S_ruber7_2,absent,S_ruber
86,"['ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG']",8.0,0.0,0.0,same,8,8,@1081797290:0.964,BJLFMBCO_02422_S_ruber0_5,GNNGOPDE_02593_S_ruber1_3,DFALBHKG_02470_S_ruber2_4,NHIKOAIL_02491_S_ruber3_5,KFBDFGIE_02574_S_ruber4_1,MENLLFMI_02526_S_ruber5_1,FBNFPFMN_02524_S_ruber6_2,HOOJEANF_02462_S_ruber7_2,COG0581,S_ruber
87,"['ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG']",8.0,0.0,0.0,same,8,8,@1083011278:0.958,BJLFMBCO_01201_S_ruber0_5,GNNGOPDE_01323_S_ruber1_3,DFALBHKG_01193_S_ruber2_4,NHIKOAIL_01239_S_ruber3_5,KFBDFGIE_01157_S_ruber4_1,MENLLFMI_01237_S_ruber5_1,FBNFPFMN_01272_S_ruber6_2,HOOJEANF_01226_S_ruber7_2,COG1960,S_ruber
