locus_tag	ftype	length_bp	gene	EC_number	COG	product
MENLLFMI_00237	CDS	306				hypothetical protein
MENLLFMI_00238	CDS	3597	rcsC_6	2.7.13.3		Sensor histidine kinase RcsC
MENLLFMI_00239	CDS	240				hypothetical protein
MENLLFMI_00240	CDS	1524				hypothetical protein
MENLLFMI_00241	CDS	258				hypothetical protein
MENLLFMI_00242	CDS	954				hypothetical protein
MENLLFMI_00243	CDS	582				hypothetical protein
MENLLFMI_00244	CDS	393				hypothetical protein
MENLLFMI_00245	CDS	1062				hypothetical protein
MENLLFMI_00246	CDS	240				hypothetical protein
MENLLFMI_00247	CDS	408				hypothetical protein
MENLLFMI_00248	CDS	327				hypothetical protein
MENLLFMI_00249	CDS	1260				hypothetical protein
MENLLFMI_00250	CDS	648				hypothetical protein
MENLLFMI_00251	CDS	306				hypothetical protein
MENLLFMI_00252	CDS	366				hypothetical protein
MENLLFMI_00253	CDS	162				hypothetical protein
MENLLFMI_00254	CDS	333				hypothetical protein
MENLLFMI_00255	CDS	411				hypothetical protein
MENLLFMI_00256	CDS	264				hypothetical protein
MENLLFMI_00257	CDS	237				hypothetical protein
MENLLFMI_00258	CDS	393				hypothetical protein
MENLLFMI_00259	CDS	681				hypothetical protein
MENLLFMI_00260	CDS	567	novN	2.1.3.12		Decarbamoylnovobiocin carbamoyltransferase
MENLLFMI_00261	CDS	300				hypothetical protein
MENLLFMI_00262	CDS	273				hypothetical protein
MENLLFMI_00263	CDS	114				hypothetical protein
MENLLFMI_00264	CDS	153				hypothetical protein
MENLLFMI_00265	CDS	630				hypothetical protein
MENLLFMI_00266	CDS	162				hypothetical protein
MENLLFMI_00267	CDS	459				hypothetical protein
MENLLFMI_00268	CDS	1332				hypothetical protein
MENLLFMI_00269	CDS	189				hypothetical protein
MENLLFMI_00270	CDS	357		2.3.1.-	COG0110	Putative acetyltransferase
MENLLFMI_00271	CDS	507				hypothetical protein
MENLLFMI_00272	CDS	615				hypothetical protein
MENLLFMI_00273	CDS	1029				IS200/IS605 family transposase ISSoc14
MENLLFMI_00274	CDS	1257				hypothetical protein
MENLLFMI_00275	CDS	1521				hypothetical protein
MENLLFMI_00276	CDS	306				hypothetical protein
MENLLFMI_00277	CDS	1011				IS110 family transposase ISOt5
MENLLFMI_00278	CDS	228				hypothetical protein
MENLLFMI_00279	CDS	210				hypothetical protein
MENLLFMI_00280	CDS	390			COG3039	IS5 family transposase ISDge16
MENLLFMI_00281	CDS	516				hypothetical protein
MENLLFMI_00282	CDS	465				hypothetical protein
MENLLFMI_00283	CDS	1890				hypothetical protein
MENLLFMI_00284	CDS	789				hypothetical protein
MENLLFMI_00285	CDS	519				hypothetical protein
MENLLFMI_00286	CDS	837				hypothetical protein
MENLLFMI_00287	CDS	297				hypothetical protein
MENLLFMI_00288	CDS	402				hypothetical protein
MENLLFMI_00289	CDS	222				hypothetical protein
MENLLFMI_00290	CDS	1227				IS200/IS605 family transposase ISEc42
MENLLFMI_00291	CDS	1611	groL_1		COG0459	60 kDa chaperonin
MENLLFMI_00292	CDS	1485	phoA_1	3.1.3.1	COG1785	Alkaline phosphatase 4
MENLLFMI_00293	CDS	690				hypothetical protein
MENLLFMI_00294	CDS	168				hypothetical protein
MENLLFMI_00295	CDS	753	lytR_1		COG3279	Sensory transduction protein LytR
MENLLFMI_00296	CDS	1203				hypothetical protein
MENLLFMI_00297	CDS	525				hypothetical protein
MENLLFMI_00298	CDS	1161	dap_1	3.4.11.19		D-aminopeptidase
MENLLFMI_00299	CDS	180				hypothetical protein
MENLLFMI_00300	CDS	1074				hypothetical protein
MENLLFMI_00301	CDS	1377	hutI_1	3.5.2.7		Imidazolonepropionase
MENLLFMI_00302	CDS	837				hypothetical protein
MENLLFMI_00303	CDS	660				hypothetical protein
MENLLFMI_00304	CDS	306				hypothetical protein
MENLLFMI_00305	CDS	1083	lplJ	6.3.1.20	COG0095	Lipoate-protein ligase LplJ
MENLLFMI_00306	CDS	456				hypothetical protein
MENLLFMI_00307	CDS	231				hypothetical protein
MENLLFMI_00308	CDS	519				hypothetical protein
MENLLFMI_00309	CDS	345	fdxA_1		COG1146	Ferredoxin-1
MENLLFMI_00310	CDS	312				hypothetical protein
MENLLFMI_00311	CDS	651				hypothetical protein
MENLLFMI_00312	CDS	711				hypothetical protein
MENLLFMI_00313	CDS	1539		1.14.13.-	COG2072	Baeyer-Villiger monooxygenase
MENLLFMI_00314	CDS	1029				hypothetical protein
MENLLFMI_00315	CDS	633				hypothetical protein
MENLLFMI_00316	CDS	630				hypothetical protein
MENLLFMI_00317	CDS	879				hypothetical protein
MENLLFMI_00318	CDS	204				hypothetical protein
MENLLFMI_00319	CDS	537				hypothetical protein
MENLLFMI_00320	CDS	486				hypothetical protein
MENLLFMI_00321	CDS	234				hypothetical protein
MENLLFMI_00322	CDS	3357				hypothetical protein
MENLLFMI_00323	CDS	417	phoP_1		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP
MENLLFMI_00324	CDS	1125				hypothetical protein
MENLLFMI_00325	CDS	1404				hypothetical protein
MENLLFMI_00326	CDS	795				hypothetical protein
MENLLFMI_00327	CDS	1035				hypothetical protein
MENLLFMI_00328	CDS	366				hypothetical protein
MENLLFMI_00329	CDS	429				hypothetical protein
MENLLFMI_00330	CDS	372				hypothetical protein
MENLLFMI_00331	CDS	759	btsR_1		COG3279	Transcriptional regulatory protein BtsR
MENLLFMI_00332	CDS	1137				hypothetical protein
MENLLFMI_00333	CDS	1536	lnt	2.3.1.269		Apolipoprotein N-acyltransferase
MENLLFMI_00334	CDS	549			COG2335	Immunogenic protein MPT70
MENLLFMI_00335	CDS	837				hypothetical protein
MENLLFMI_00336	CDS	291				hypothetical protein
MENLLFMI_00337	CDS	153				hypothetical protein
MENLLFMI_00338	CDS	333				hypothetical protein
MENLLFMI_00339	CDS	393				hypothetical protein
MENLLFMI_00340	CDS	624				hypothetical protein
MENLLFMI_00341	CDS	561				hypothetical protein
MENLLFMI_00342	CDS	942				hypothetical protein
MENLLFMI_00343	CDS	678				hypothetical protein
MENLLFMI_00344	CDS	669				hypothetical protein
MENLLFMI_00345	CDS	678				hypothetical protein
MENLLFMI_00346	CDS	471				hypothetical protein
MENLLFMI_00347	CDS	483				IS630 family transposase ISMae27
MENLLFMI_00348	CDS	1077	tagO	2.7.8.33	COG0472	putative undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase
MENLLFMI_00349	CDS	1620				hypothetical protein
MENLLFMI_00350	CDS	1077				hypothetical protein
MENLLFMI_00351	CDS	2103	recG	3.6.4.12		ATP-dependent DNA helicase RecG
MENLLFMI_00352	CDS	726				hypothetical protein
MENLLFMI_00353	CDS	1515	cpdA_1	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
MENLLFMI_00354	CDS	411				hypothetical protein
MENLLFMI_00355	CDS	363				hypothetical protein
MENLLFMI_00356	CDS	453				hypothetical protein
MENLLFMI_00357	CDS	684				hypothetical protein
MENLLFMI_00358	CDS	2031	tkt	2.2.1.1		Transketolase
MENLLFMI_00359	CDS	681	tal_2	2.2.1.2	COG0176	Transaldolase
MENLLFMI_00360	CDS	1623	sglT_1			Sodium/glucose cotransporter
MENLLFMI_00361	CDS	990				hypothetical protein
MENLLFMI_00362	CDS	1074				hypothetical protein
MENLLFMI_00363	CDS	384				hypothetical protein
MENLLFMI_00364	CDS	276				hypothetical protein
MENLLFMI_00365	CDS	1341				hypothetical protein
MENLLFMI_00366	CDS	1164	pimB_1	2.4.1.346	COG0438	GDP-mannose-dependent alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase
MENLLFMI_00367	CDS	897				hypothetical protein
MENLLFMI_00368	CDS	510				hypothetical protein
MENLLFMI_00369	CDS	777				hypothetical protein
MENLLFMI_00370	CDS	1005				hypothetical protein
MENLLFMI_00371	CDS	465				hypothetical protein
MENLLFMI_00372	CDS	891	ephA	3.3.2.10		Epoxide hydrolase A
MENLLFMI_00373	CDS	318				hypothetical protein
MENLLFMI_00374	CDS	375				hypothetical protein
MENLLFMI_00375	CDS	1767				hypothetical protein
MENLLFMI_00376	CDS	990				hypothetical protein
MENLLFMI_00377	CDS	144				hypothetical protein
MENLLFMI_00378	CDS	693	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
MENLLFMI_00379	CDS	279				hypothetical protein
MENLLFMI_00380	CDS	2409				hypothetical protein
MENLLFMI_00381	CDS	3492				hypothetical protein
MENLLFMI_00382	CDS	435				hypothetical protein
MENLLFMI_00383	CDS	1824	recQ	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
MENLLFMI_00384	CDS	1386				hypothetical protein
MENLLFMI_00385	CDS	2727				hypothetical protein
MENLLFMI_00386	CDS	2610	lysA	4.1.1.20		Diaminopimelate decarboxylase
MENLLFMI_00387	CDS	507				hypothetical protein
MENLLFMI_00388	CDS	768				putative protein
MENLLFMI_00389	CDS	483	umuD	3.4.21.-	COG1974	Protein UmuD
MENLLFMI_00390	CDS	1281	umuC		COG0389	Protein UmuC
MENLLFMI_00391	CDS	1647				hypothetical protein
MENLLFMI_00392	CDS	3192	tolB_1			Tol-Pal system protein TolB
MENLLFMI_00393	CDS	1848	nosZ	1.7.2.4		Nitrous-oxide reductase
MENLLFMI_00394	CDS	660				hypothetical protein
MENLLFMI_00395	CDS	1392	nosD			putative ABC transporter binding protein NosD
MENLLFMI_00396	CDS	681	lnrL_1	3.6.3.-	COG1131	Linearmycin resistance ATP-binding protein LnrL
MENLLFMI_00397	CDS	261				hypothetical protein
MENLLFMI_00398	CDS	525				hypothetical protein
MENLLFMI_00399	CDS	480				hypothetical protein
MENLLFMI_00400	CDS	309				hypothetical protein
MENLLFMI_00401	CDS	204				hypothetical protein
MENLLFMI_00402	CDS	522	cbaB	1.9.3.1	COG1622	Cytochrome c oxidase subunit 2
MENLLFMI_00403	CDS	1674	cbaA	1.9.3.1	COG0843	Cytochrome c oxidase subunit 1
MENLLFMI_00404	CDS	618				hypothetical protein
MENLLFMI_00405	CDS	810	nagR		COG2188	HTH-type transcriptional repressor NagR
MENLLFMI_00406	CDS	108				hypothetical protein
MENLLFMI_00407	CDS	1200				hypothetical protein
MENLLFMI_00408	CDS	921				hypothetical protein
MENLLFMI_00409	CDS	597				hypothetical protein
MENLLFMI_00410	CDS	222				hypothetical protein
MENLLFMI_00411	CDS	219				hypothetical protein
MENLLFMI_00412	CDS	1515	fixN	1.9.3.1	COG3278	Cytochrome c oxidase subunit 1 , bacteroid
MENLLFMI_00413	CDS	597				hypothetical protein
MENLLFMI_00414	CDS	780				hypothetical protein
MENLLFMI_00415	CDS	2136	copA_1	7.2.2.8		Copper-exporting P-type ATPase
MENLLFMI_00416	CDS	1455	gloB	3.1.2.6		Hydroxyacylglutathione hydrolase
MENLLFMI_00417	CDS	765				hypothetical protein
MENLLFMI_00418	CDS	750	zupT_1			Zinc transporter ZupT
MENLLFMI_00419	CDS	513	dps1	1.16.-.-	COG0783	DNA protection during starvation protein 1
MENLLFMI_00420	CDS	3144	mdtB_1			Multidrug resistance protein MdtB
MENLLFMI_00421	CDS	501				hypothetical protein
MENLLFMI_00422	CDS	714	tenA	3.5.99.2	COG0819	Aminopyrimidine aminohydrolase
MENLLFMI_00423	CDS	3336	rcsC_7	2.7.13.3		Sensor histidine kinase RcsC
MENLLFMI_00424	CDS	624				hypothetical protein
MENLLFMI_00425	CDS	2382	copA_2	7.2.2.8	COG2217	Copper-exporting P-type ATPase
MENLLFMI_00426	CDS	3579	cheB_1	3.5.1.44		Protein-glutamate methylesterase/protein-glutamine glutaminase
MENLLFMI_00427	CDS	813	uppP	3.6.1.27		Undecaprenyl-diphosphatase
MENLLFMI_00428	CDS	216				hypothetical protein
MENLLFMI_00429	CDS	816				hypothetical protein
MENLLFMI_00430	CDS	1299	der		COG1160	GTPase Der
MENLLFMI_00431	CDS	780				hypothetical protein
MENLLFMI_00432	CDS	705				hypothetical protein
MENLLFMI_00433	CDS	1035	pqiB		COG3008	Intermembrane transport protein PqiB
MENLLFMI_00434	CDS	768	mkl_1		COG1127	putative ribonucleotide transport ATP-binding protein mkl
MENLLFMI_00435	CDS	1116				hypothetical protein
MENLLFMI_00436	CDS	414				hypothetical protein
MENLLFMI_00437	CDS	687	pal_1			Peptidoglycan-associated lipoprotein
